delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000,exp,323,11,26,space,1.1815399000188336,None,302,1,[4.1164452999364585],[4.116450399975292],26,11,323,9,2709.2737934000324,,2709.267444199999,2709.2737934000324,2710.265742299962,2710.265742299962,2710.265742299962,2711.450206300011,space,1.1815399000188336,None,2711.4510828000493,2711.557377066642,2711.8662751000375,2711.854279399966,2711.8550890999613,2711.8662751000375,2711.8662751000375,2711.8662751000375,2715.982884399942,302,1,[4.1164452999364585],[4.116450399975292],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,324,0,27,space,0.38582740002311766,None,390,1,[2.3249346000375226],[2.3249397000763565],27,0,324,9,2715.9901989999926,,2715.983049600036,2715.9901989999926,2716.973694400047,2716.973694400047,2716.982188599999,2717.366028600023,space,0.38582740002311766,None,2717.3670828000177,2717.465568966644,2717.7748896999983,2717.7661300000036,2717.76678039995,2717.7748896999983,2717.7748896999983,2717.7748896999983,2720.099981999956,390,1,[2.3249346000375226],[2.3249397000763565],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,1000,exp,325,1,27,space,60.22919179999735,None,304,1,[3.5580021999776363],[3.5580071000149474],27,1,325,5,2720.106999599957,,2720.1001184999477,2720.106999599957,2721.099305800046,2721.099305800046,2721.099305800046,2781.331595399999,space,60.22919179999735,None,2781.332802799996,2782.030819666634,2782.340317999944,2782.3322423000354,2782.332633699989,2782.340317999944,2782.340317999944,2782.340317999944,2785.8985028000316,304,1,[3.5580021999776363],[3.5580071000149474],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,400,unexp,326,2,27,space,0.41507839993573725,None,300,1,[1.1606008999515325],[1.1606046999804676],27,2,326,2,2785.905664799968,,2785.8986673000036,2785.905664799968,2786.889848300023,2786.889848300023,2786.897643400007,2787.3065201999852,space,0.41507839993573725,None,2787.3074542999966,2788.0057694666943,2788.313196199946,2788.3035301000345,2788.3057004000293,2788.313196199946,2788.313196199946,2788.313196199946,2789.4739681000356,300,1,[1.1606008999515325],[1.1606046999804676],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,327,3,27,space,0.27404379996005446,None,205,1,[2.207625199924223],[2.207633399986662],27,3,327,4,2789.4804017000133,,2789.4740961999632,2789.4804017000133,2790.47273030004,2790.47273030004,2790.47273030004,2790.7484706999967,space,0.27404379996005446,None,2790.7496202000184,2791.155964466689,2791.465311500011,2791.454518100014,2791.455268300022,2791.465311500011,2791.465311500011,2791.465311500011,2793.673199599958,205,1,[2.207625199924223],[2.207633399986662],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,400,unexp,328,4,27,space,2.6357432000804693,None,201,1,[5.46283490001224],[5.462840399937704],27,4,328,1,2793.6804234000156,,2793.6734110000543,2793.6804234000156,2794.6639535999857,2794.6639535999857,2794.6723132999614,2797.30622899998,space,2.6357432000804693,None,2797.307054899982,2797.705443166608,2798.0110364999855,2798.0017243999755,2798.00220550003,2798.0110364999855,2798.0110364999855,2798.0110364999855,2803.4740529999835,201,1,[5.46283490001224],[5.462840399937704],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,329,5,27,space,1.4138418000657111,None,304,1,[7.867650800035335],[7.867655599955469],27,5,329,7,2803.4809490999905,,2803.4742034999654,2803.4809490999905,2804.47225240001,2804.47225240001,2804.47225240001,2805.8904087999836,space,1.4138418000657111,None,2805.8919481999474,2806.297493966708,2806.605315600056,2806.5945618000114,2806.595428199973,2806.605315600056,2806.605315600056,2806.605315600056,2814.4731409000233,304,1,[7.867650800035335],[7.867655599955469],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,400,unexp,330,6,27,space,0.4261248999973759,None,403,1,[3.332939499989152],[3.3329441000241786],27,6,330,0,2814.480561299948,,2814.473325100029,2814.480561299948,2815.472380100051,2815.472380100051,2815.472380100051,2815.9058471999597,space,0.4261248999973759,None,2815.906682800036,2816.0051314666093,2816.3152869000332,2816.30158520001,2816.3020769000286,2816.3152869000332,2816.3152869000332,2816.3152869000332,2819.6484121000394,403,1,[3.332939499989152],[3.3329441000241786],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,331,7,27,space,1.2377592000411823,None,344,1,[3.852829899988137],[3.8528338000178337],27,7,331,10,2819.6549448999576,,2819.6485706999665,2819.6549448999576,2820.6475570000475,2820.6475570000475,2820.6475570000475,2821.889509200002,space,1.2377592000411823,None,2821.890383300022,2822.296984866673,2822.6032141000032,2822.5924227000214,2822.592985299998,2822.6032141000032,2822.6032141000032,2822.6032141000032,2826.456213700003,344,1,[3.852829899988137],[3.8528338000178337],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,332,8,27,space,0.3392203999683261,None,543,1,[2.178730099927634],[2.178738999995403],27,8,332,3,2826.463275899994,,2826.4563676000107,2826.463275899994,2827.4551288000075,2827.4551288000075,2827.4551288000075,2827.7975678000366,space,0.3392203999683261,None,2827.7985495999455,2827.9050972667214,2828.210607200046,2828.2025229999563,2828.2029896000167,2828.210607200046,2828.210607200046,2828.210607200046,2830.3895086999983,543,1,[2.178730099927634],[2.178738999995403],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
