pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,z,67,3,16,v,0,0.43929920019581914,None,16,3,67,3,,,,,185.89825570001267,,185.8830566999968,185.89825570001267,186.89766449993476,186.89766449993476,186.89766449993476,186.89766449993476,186.89766449993476,187.8969602000434,187.8969602000434,188.3475983000826,v,0,0.43929920019581914,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,68,0,17,z,0,0.5688732000999153,None,17,0,68,0,,,,,188.3630898001138,,188.34804489999078,188.3630898001138,189.3620488999877,189.3620488999877,189.3620488999877,189.3620488999877,189.3620488999877,190.36113550001755,190.36113550001755,190.94531290000305,z,0,0.5688732000999153,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,69,1,17,x,0,0.40432409988716245,None,17,1,69,1,,,,,190.9610790000297,,190.94581659999676,190.9610790000297,191.96035549999215,191.96035549999215,191.96035549999215,191.96035549999215,191.96035549999215,192.95951330009848,192.95951330009848,193.376314900117,x,0,0.40432409988716245,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,70,2,17,c,1,0.6185715000610799,None,17,2,70,2,,,,,193.39212650014088,,193.3769173999317,193.39212650014088,194.3917171000503,194.3917171000503,194.3917171000503,194.3917171000503,194.3917171000503,195.39076460013166,195.39076460013166,196.0241260000039,c,1,0.6185715000610799,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,71,3,17,v,0,0.15872559999115765,None,17,3,71,3,,,,,196.04022530000657,,196.024605399929,196.04022530000657,197.03914090013131,197.03914090013131,197.03914090013131,197.03914090013131,197.03914090013131,198.0382664001081,198.0382664001081,198.2049644999206,v,0,0.15872559999115765,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,72,0,18,z,0,1.0552976001054049,None,18,0,72,0,,,,,198.2214303999208,,198.20521900011227,198.2214303999208,199.204032599926,199.204032599926,199.204032599926,199.204032599926,199.22058370010927,200.22031309991144,200.22031309991144,201.28659779997543,z,0,1.0552976001054049,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,73,1,18,x,0,0.2709309998899698,None,18,1,73,1,,,,,201.30244180001318,,201.28713620011695,201.30244180001318,202.30174720007926,202.30174720007926,202.30174720007926,202.30174720007926,202.31830019992776,203.30112130008638,203.30112130008638,203.5851000000257,x,0,0.2709309998899698,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,74,2,18,c,1,0.12479460006579757,None,18,2,74,2,,,,,203.6006279999856,,203.58586569991894,203.6006279999856,204.59978720010258,204.59978720010258,204.59978720010258,204.59978720010258,204.59978720010258,205.5988054999616,205.5988054999616,205.73300520004705,c,1,0.12479460006579757,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,75,3,18,v,0,0.1420674999244511,None,18,3,75,3,,,,,205.74874050007202,,205.73348880000412,205.74874050007202,206.74783660005778,206.74783660005778,206.74783660005778,206.74783660005778,206.76402699993923,207.7472490000073,207.7472490000073,207.89773149997927,v,0,0.1420674999244511,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,76,0,19,z,0,1.0830993000417948,None,19,0,76,0,,,,,207.91375560010783,,207.89830749994144,207.91375560010783,208.91263110004365,208.91263110004365,208.91263110004365,208.91263110004365,208.91263110004365,209.91209529992193,209.91209529992193,211.01137199997902,z,0,1.0830993000417948,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,77,1,19,x,0,0.5289543999824673,None,19,1,77,1,,,,,211.02758250012994,,211.01175120007247,211.02758250012994,212.01066270004958,212.01066270004958,212.01066270004958,212.01066270004958,212.02683220012113,213.0258311999496,213.0258311999496,213.55988189997151,x,0,0.5289543999824673,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,78,2,19,c,1,0.37169039994478226,None,19,2,78,2,,,,,213.57680819998495,,213.56036380003206,213.57680819998495,214.5750255000312,214.5750255000312,214.5750255000312,214.5750255000312,214.5917819000315,215.57408250006847,215.57408250006847,215.95776670007035,c,1,0.37169039994478226,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,79,3,19,v,0,0.3526872999500483,None,19,3,79,3,,,,,215.97384710004553,,215.95830560009927,215.97384710004553,216.97276609996334,216.97276609996334,216.97276609996334,216.97276609996334,216.98946500010788,217.97196649992839,217.97196649992839,218.33903430006467,v,0,0.3526872999500483,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,80,0,20,z,0,0.4470913000404835,None,20,0,80,0,,,,,218.35497480002232,,218.3395646000281,218.35497480002232,219.3543736001011,219.3543736001011,219.3543736001011,219.3543736001011,219.3543736001011,220.35379209998064,220.35379209998064,220.8037221999839,z,0,0.4470913000404835,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,81,1,20,x,0,0.3745202999562025,None,20,1,81,1,,,,,220.82006200007163,,220.80421460000798,220.82006200007163,221.81902469997294,221.81902469997294,221.81902469997294,221.81902469997294,221.83584060007706,222.81810769997537,222.81810769997537,223.20318470010534,x,0,0.3745202999562025,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,82,2,20,v,0,2.0400449000298977,None,20,2,82,2,,,,,223.21776650007814,,223.20364450011402,223.21776650007814,224.2167895999737,224.2167895999737,224.2167895999737,224.2167895999737,224.2167895999737,225.21600269991904,225.21600269991904,227.26509990007617,v,0,2.0400449000298977,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
