thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
14,0,14,up,1,0.7589404999744147,None,0,14,0,14,0,39.78718059998937,,39.770126699935645,39.78718059998937,40.77010129997507,40.78492289991118,41.534503899980336,up,1,0.7589404999744147,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
15,0,15,up,1,0.7318004998378456,None,0,15,0,15,0,41.552356200059876,,41.534885599976406,41.552356200059876,42.534608899848536,42.56624779989943,43.28330580005422,up,1,0.7318004998378456,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
16,0,16,down,1,1.108118100091815,None,4,16,0,16,0,43.30134920007549,,43.28376160003245,43.30134920007549,44.28352509997785,44.31534119998105,45.39809149992652,down,1,1.108118100091815,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
17,0,17,down,1,0.8590180999599397,None,1,17,0,17,0,45.415886299917474,,45.39850710006431,45.415886299917474,46.39847579994239,46.41353839985095,47.26334730000235,down,1,0.8590180999599397,None,1,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
18,0,18,down,1,2.1408214000985026,None,-2,18,0,18,0,47.28143809991889,,47.26376000000164,47.28143809991889,48.26355280005373,48.295249100076035,50.41058019991033,down,1,2.1408214000985026,None,-2,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
19,0,19,up,1,1.0426378999836743,None,0,19,0,19,0,50.42836369993165,,50.41095819999464,50.42836369993165,51.411341399885714,51.42608950007707,52.459035699954256,up,1,1.0426378999836743,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
20,0,20,down,1,2.5364492998924106,None,1,20,0,20,0,52.47664209990762,,52.459459400037304,52.47664209990762,53.461083200061694,53.47422509989701,56.00614159996621,down,1,2.5364492998924106,None,1,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
21,0,21,up,1,1.2579226999077946,None,0,21,0,21,0,56.02368149999529,,56.00651800003834,56.02368149999529,57.00638929987326,57.02152130007744,58.27066839998588,up,1,1.2579226999077946,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
22,0,22,down,1,0.8132949001155794,None,4,22,0,22,0,58.288689099950716,,58.27108839992434,58.288689099950716,59.27101909997873,59.30265159998089,60.085788999916986,down,1,0.8132949001155794,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
23,0,23,up,1,1.337448599981144,None,0,23,0,23,0,60.10429549985565,,60.08616429986432,60.10429549985565,61.086144499946386,61.11809740005992,62.43378550000489,up,1,1.337448599981144,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
