pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,26,2,6,c,1,2.783762800041586,None,6,2,26,2,,,,,118.29415830015205,,118.27858290006407,118.29415830015205,119.30975809996016,119.29312729998492,119.29312729998492,119.29312729998492,119.29312729998492,120.29283070005476,120.29283070005476,123.09082189993933,c,1,2.783762800041586,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,27,3,6,v,0,0.6440804000012577,None,6,3,27,3,,,,,123.10701439995319,,123.09132140013389,123.10701439995319,124.1062936000526,124.1062936000526,124.1062936000526,124.1062936000526,124.1062936000526,125.10536060016602,125.10536060016602,125.7553394001443,v,0,0.6440804000012577,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,28,0,7,z,0,0.6024308998603374,None,7,0,28,0,,,,,125.77122410014272,,125.75606060004793,125.77122410014272,126.7703253000509,126.7703253000509,126.7703253000509,126.7703253000509,126.7703253000509,127.76953359995969,127.76953359995969,128.38674370013177,z,0,0.6024308998603374,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,29,1,7,x,0,2.1287541000638157,None,7,1,29,1,,,,,128.40279439999722,,128.38722670008428,128.40279439999722,129.40169910015538,129.40169910015538,129.40169910015538,129.40169910015538,129.40169910015538,130.40096210013144,130.40096210013144,132.5330779000651,x,0,2.1287541000638157,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,30,2,7,c,1,0.7136656001675874,None,7,2,30,2,,,,,132.5493676001206,,132.53357760002837,132.5493676001206,133.54837270011194,133.54837270011194,133.54837270011194,133.54837270011194,133.54837270011194,134.54772170004435,134.54772170004435,135.263767400058,c,1,0.7136656001675874,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,31,3,7,v,0,4.742056699935347,None,7,3,31,3,,,,,135.28010129998438,,135.26407400006428,135.28010129998438,136.2793922999408,136.26276289997622,136.26276289997622,136.26276289997622,136.26276289997622,137.27885799994692,137.27885799994692,142.0247679001186,v,0,4.742056699935347,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,32,0,8,z,0,0.7157955002039671,None,8,0,32,0,,,,,142.0410587999504,,142.02496489998884,142.0410587999504,143.04051840002649,143.02408230002038,143.02408230002038,143.02408230002038,143.02408230002038,144.03998090000823,144.03998090000823,144.7564868000336,z,0,0.7157955002039671,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,33,1,8,x,0,0.7433981001377106,None,8,1,33,1,,,,,144.77263969997875,,144.75703520001844,144.77263969997875,145.77161110006273,145.75514100003056,145.75514100003056,145.75514100003056,145.75514100003056,146.77064260002226,146.77064260002226,147.52089960011654,x,0,0.7433981001377106,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,34,2,8,c,1,0.7602482999209315,None,8,2,34,2,,,,,147.53705230006017,,147.52148320013657,147.53705230006017,148.53616990009323,148.53616990009323,148.53616990009323,148.53616990009323,148.53616990009323,149.53531350009143,149.53531350009143,150.30166450003162,c,1,0.7602482999209315,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,35,3,8,v,0,0.6054992999415845,None,8,3,35,3,,,,,150.31795129994862,,150.302179899998,150.31795129994862,151.31724450015463,151.31724450015463,151.31724450015463,151.31724450015463,151.31724450015463,152.31644190009683,152.31644190009683,152.93250670004636,v,0,0.6054992999415845,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,36,0,9,z,0,0.8395348999183625,None,9,0,36,0,,,,,152.94882309995592,,152.93279980006628,152.94882309995592,153.9481981000863,153.93153050006367,153.93153050006367,153.93153050006367,153.93153050006367,154.94754280010238,154.94754280010238,155.79722109995782,z,0,0.8395348999183625,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,37,1,9,x,0,0.7790264999493957,None,9,1,37,1,,,,,155.8134345000144,,155.79770869994536,155.8134345000144,156.81272620009258,156.81272620009258,156.81272620009258,156.81272620009258,156.81272620009258,157.81165589997545,157.81165589997545,158.59490999998525,x,0,0.7790264999493957,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,38,2,9,c,1,0.7934755999594927,None,9,2,38,2,,,,,158.61096119997092,,158.59542060014792,158.61096119997092,159.61057110014372,159.61057110014372,159.61057110014372,159.61057110014372,159.61057110014372,160.60972880013287,160.60972880013287,161.40900460002013,c,1,0.7934755999594927,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,39,3,9,v,0,0.6765781999565661,None,9,3,39,3,,,,,161.4254258000292,,161.40919849998318,161.4254258000292,162.42476429999806,162.42476429999806,162.42476429999806,162.42476429999806,162.42476429999806,163.4233989000786,163.4233989000786,164.10730300005525,v,0,0.6765781999565661,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,40,0,10,z,0,0.7173570999875665,None,10,0,40,0,,,,,164.12338669993915,,164.10782329994254,164.12338669993915,165.1223538001068,165.1223538001068,165.1223538001068,165.1223538001068,165.1223538001068,166.12150540016592,166.12150540016592,166.85495280008763,z,0,0.7173570999875665,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,41,1,10,x,0,0.7769498000852764,None,10,1,41,1,,,,,166.87086490006186,,166.8554338000249,166.87086490006186,167.86998690012842,167.86998690012842,167.86998690012842,167.86998690012842,167.86998690012842,168.8695132001303,168.8695132001303,169.6525518000126,x,0,0.7769498000852764,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,42,2,10,c,1,0.5949999000877142,None,10,2,42,2,,,,,169.66888250014745,,169.6531003001146,169.66888250014745,170.68442020006478,170.66789179993793,170.66789179993793,170.66789179993793,170.66789179993793,171.6670780000277,171.6670780000277,172.26725080003962,c,1,0.5949999000877142,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,43,3,10,v,0,0.6002795998938382,None,10,3,43,3,,,,,172.28317530010827,,172.26778859994374,172.28317530010827,173.28240100014955,173.28240100014955,173.28240100014955,173.28240100014955,173.28240100014955,174.28129349998198,174.28129349998198,174.89835160016082,v,0,0.6002795998938382,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,44,0,11,z,0,0.6819591999519616,None,11,0,44,0,,,,,174.91440410003997,,174.8988383000251,174.91440410003997,175.91356130014174,175.91356130014174,175.91356130014174,175.91356130014174,175.91356130014174,176.91285110008903,176.91285110008903,177.59617320005782,z,0,0.6819591999519616,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,45,1,11,x,0,0.6421111999079585,None,11,1,45,1,,,,,177.61205470003188,,177.59666400006972,177.61205470003188,178.61123330006376,178.61123330006376,178.61123330006376,178.61123330006376,178.61123330006376,179.61041830014437,179.61041830014437,180.259953700006,x,0,0.6421111999079585,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
